Maze 0: start=(10, 13), exit=(12, 1), path_length=60
Maze 1: start=(2, 5), exit=(5, 17), path_length=61
Maze 2: start=(11, 12), exit=(17, 8), path_length=52
Maze 3: start=(5, 7), exit=(17, 1), path_length=62
Maze 4: start=(1, 11), exit=(17, 1), path_length=54
Maze 5: start=(14, 1), exit=(11, 17), path_length=47
Maze 6: start=(3, 5), exit=(1, 2), path_length=117
Maze 7: start=(1, 8), exit=(14, 17), path_length=86
Maze 8: start=(3, 5), exit=(11, 1), path_length=32
Maze 9: start=(11, 3), exit=(2, 11), path_length=93
Maze 10: start=(2, 3), exit=(13, 17), path_length=61
Maze 11: start=(1, 2), exit=(11, 17), path_length=49
Maze 12: start=(7, 15), exit=(10, 1), path_length=87
Maze 13: start=(17, 4), exit=(1, 15), path_length=43
Maze 14: start=(11, 14), exit=(11, 2), path_length=32
Maze 15: start=(15, 15), exit=(17, 8), path_length=47
Maze 16: start=(3, 1), exit=(7, 17), path_length=80
Maze 17: start=(2, 15), exit=(17, 4), path_length=46
Maze 18: start=(5, 5), exit=(15, 1), path_length=74
Maze 19: start=(6, 5), exit=(5, 2), path_length=58
Maze 20: start=(8, 13), exit=(17, 6), path_length=36
Maze 21: start=(17, 8), exit=(1, 1), path_length=73
Maze 22: start=(7, 3), exit=(1, 15), path_length=110
Maze 23: start=(14, 7), exit=(4, 17), path_length=84
Maze 24: start=(13, 7), exit=(17, 16), path_length=31
Maze 25: start=(13, 2), exit=(17, 11), path_length=43
Maze 26: start=(10, 7), exit=(1, 3), path_length=67
Maze 27: start=(5, 12), exit=(17, 17), path_length=37
Maze 28: start=(4, 3), exit=(14, 1), path_length=104
Maze 29: start=(2, 5), exit=(17, 9), path_length=57
Maze 30: start=(8, 7), exit=(4, 1), path_length=44
Maze 31: start=(11, 4), exit=(8, 17), path_length=54
Maze 32: start=(13, 6), exit=(5, 17), path_length=71
Maze 33: start=(7, 13), exit=(13, 1), path_length=62
Maze 34: start=(13, 10), exit=(1, 14), path_length=30
Maze 35: start=(15, 14), exit=(1, 17), path_length=63
Maze 36: start=(3, 11), exit=(5, 2), path_length=57
Maze 37: start=(9, 2), exit=(2, 15), path_length=76
Maze 38: start=(4, 3), exit=(1, 11), path_length=53
Maze 39: start=(4, 5), exit=(17, 12), path_length=42
Maze 40: start=(1, 16), exit=(17, 4), path_length=48
Maze 41: start=(3, 10), exit=(17, 3), path_length=37
Maze 42: start=(3, 4), exit=(17, 1), path_length=71
Maze 43: start=(9, 9), exit=(3, 1), path_length=54
Maze 44: start=(5, 16), exit=(6, 1), path_length=78
Maze 45: start=(7, 1), exit=(1, 9), path_length=70
Maze 46: start=(9, 8), exit=(2, 3), path_length=52
Maze 47: start=(5, 5), exit=(8, 17), path_length=73
Maze 48: start=(15, 13), exit=(17, 7), path_length=72
Maze 49: start=(5, 5), exit=(1, 2), path_length=67
Maze 50: start=(15, 14), exit=(4, 1), path_length=44
Maze 51: start=(15, 1), exit=(7, 17), path_length=44
Maze 52: start=(14, 7), exit=(1, 15), path_length=47
Maze 53: start=(9, 7), exit=(17, 8), path_length=43
Maze 54: start=(4, 3), exit=(10, 17), path_length=70
Maze 55: start=(1, 6), exit=(10, 1), path_length=84
Maze 56: start=(9, 14), exit=(17, 4), path_length=46
Maze 57: start=(17, 17), exit=(16, 1), path_length=53
Maze 58: start=(11, 7), exit=(17, 17), path_length=40
Maze 59: start=(7, 4), exit=(1, 3), path_length=53
Maze 60: start=(3, 3), exit=(8, 17), path_length=69
Maze 61: start=(13, 14), exit=(1, 10), path_length=36
Maze 62: start=(11, 13), exit=(1, 5), path_length=90
Maze 63: start=(11, 10), exit=(1, 13), path_length=45
Maze 64: start=(13, 7), exit=(17, 13), path_length=62
Maze 65: start=(12, 17), exit=(13, 2), path_length=46
Maze 66: start=(4, 5), exit=(1, 12), path_length=116
Maze 67: start=(3, 17), exit=(11, 1), path_length=52
